
1,"""chore(package): update all Yarn dependencies (2023-03-19)""",0,changed

2,"""chore(package): update all Yarn dependencies (2023-03-12)""",0,changed

3,"""feat(blog): update hoc to array const""",0,changed

4,"""feat(blog): add nextjs-auth-hoc""",0,added

5,"""chore(package): update all Yarn dependencies (2023-03-05)""",0,changed

6,"""feat: change dark background theme""",1,added

7,"""feat(blog): update one-stop-starter

update the features list to match the updated repository's feature list""",1,changed

8,"""chore(package): update all Yarn dependencies (2023-02-19)""",0,changed

9,"""chore(package): update all Yarn dependencies (2023-02-12)""",0,changed

10,"""chore(package): update all Yarn dependencies (2023-02-05)""",0,changed

11,"""feat(blog): typo in nextjs-fetch-method""",0,changed

12,"""chore(package): update all Yarn dependencies (2023-01-29)""",0,changed

13,"""chore(package): update all Yarn dependencies (2023-01-22)""",0,changed

14,"""feat: use env for umami""",0,added

15,"""feat: update SubscribeCard to substack""",1,added

16,"""feat(blog): add quote to 2022-retrospective""",0,added

17,"""chore(package): update all Yarn dependencies (2023-01-15)""",0,changed

18,"""chore(package): update all Yarn dependencies (2023-01-08)""",0,changed

19,"""chore(main): release 3.1.0""",0,changed

20,"""feat: change about picture""",1,added

21,"""chore(package): update all Yarn dependencies (2023-01-01)""",0,changed

22,"""feat: move public id to env

so other who forked this repo can immediately change the env""",0,added

23,"""feat(blog): add 2022-retrospective""",0,added

24,"""feat: always use light mode for TweetCard""",0,added

25,"""feat: update trf bca and add mandiri""",1,added

26,"""feat(proj): add media coverage to hexcape""",1,added

27,"""chore(package): update all Yarn dependencies (2022-12-25)""",0,changed

28,"""chore(package): update all Yarn dependencies (2022-12-21)""",0,changed

29,"""feat(proj): add hexcape""",0,added

30,"""chore(package): update all Yarn dependencies (2022-12-11)""",0,changed

31,"""chore(package): update all Yarn dependencies (2022-12-04)""",0,changed

32,"""chore(package): update all Yarn dependencies (2022-11-23)""",0,changed

33,"""feat: add cache header to spotify and newsletter""",1,added

34,"""feat: add zod validation for api param""",1,added

35,"""chore: remove preact""",0,changed

36,"""chore(package): update all Yarn dependencies (2022-11-01)""",0,changed

37,"""docs: change license to gpl3""",1,changed

38,"""feat(blog): add react-core-concept-useeffect""",0,added

39,"""chore: remove faunadb""",0,changed

40,"""chore(main): release 3.0.0""",0,changed

41,"""feat: remove fauna""",1,added

42,"""feat!: add prisma as counter""",1,added

43,"""fix: typo in conventional-commit english part""",1,fixed

44,"""docs: add sponsor button""",1,added

45,"""fix: mdx class isn't using className syntax""",1,fixed

46,"""feat: change image shadow from sm to default""",1,added

47,"""chore(main): release 2.0.0""",0,changed

48,"""ci: update lint and release""",1,changed

49,"""feat(proj): add notiolink""",0,added

50,"""chore: add eslint unused import autofix""",0,added

51,"""feat: add design page""",1,added

52,"""chore: hide feedback on development""",0,changed

53,"""chore: upgrade to tailwindcss@3.1""",0,changed

54,"""chore: change opengraph link""",0,changed

55,"""chore(package): update all Yarn dependencies (2022-06-15)""",0,changed

56,"""chore(package): update all Yarn dependencies (2022-06-05)""",0,changed

57,"""chore(package): update all Yarn dependencies (2022-05-29)""",0,changed

58,"""chore(package): update all Yarn dependencies (2022-05-22)""",0,changed

59,"""chore(package): update all Yarn dependencies (2022-05-11)""",0,changed

60,"""feat: add localeString to view count""",1,added

61,"""feat(blog): update swift-value-reference

fix typos, add reference types inside of value types section""",1,changed

62,"""feat(blog): move proof order in reference value""",1,changed

63,"""feat(blog): add swift-value-reference""",0,added

64,"""chore(package): update all Yarn dependencies (2022-04-21)""",0,changed

65,"""test: use retry to supress flaky test""",1,changed

66,"""fix: false image and link not working

thanks to @vikasganiga05 for bringing up the bugs""",0,fixed

67,"""fix: bullet list on side-projects""",1,fixed

68,"""chore(package): update all Yarn dependencies (2022-04-02)""",0,changed

69,"""fix: broken link on rhf post""",0,fixed

70,"""test: remove spotify check""",1,changed

71,"""fix: preview still increment meta on first visit""",1,fixed

72,"""feat: remove hotjar""",1,added

73,"""fix: projects can't be opened on ios

because of date format error""",0,fixed

74,"""chore(package): update all Yarn dependencies (2022-03-13)""",0,changed

75,"""chore(package): update all Yarn dependencies (2022-03-06)""",0,changed

76,"""docs: typos on readme""",0,changed

77,"""docs: add contributing guide and update readme""",1,added

78,"""docs: update license year""",1,changed

79,"""docs: remove framer motion from tech stack""",1,changed

80,"""chore: use prettier-plugin-tailwindcss""",0,changed

81,"""feat: add motion safe animation""",1,added

82,"""chore(package): update next to version 12.1.0""",0,changed

83,"""chore(package): update all Yarn dependencies (2022-02-26)""",0,changed

84,"""chore(package): update all Yarn dependencies (2022-02-13)""",0,changed

85,"""test: group render pages""",1,changed

86,"""chore(package): update all Yarn dependencies (2022-02-06)""",0,changed

87,"""chore(package): update all Yarn dependencies (2022-01-31)""",0,changed

88,"""chore(package): update next to version 12.0.9""",0,changed

89,"""test: wait for spotify page to load""",1,changed

90,"""docs: update env example and add comment""",1,changed

91,"""feat: turn on double opt in""",1,added

92,"""chore(package): update all Yarn dependencies (2022-01-16)""",0,changed

93,"""feat: add source code to footer""",1,added

94,"""fix(blog): typo on nextjs-storybook-tailwing""",0,changed

95,"""feat: add stat card count""",1,added

96,"""feat: add right align to the statistics table""",1,added

97,"""refactor: change links to constant""",1,changed

98,"""feat(blog): add see changes button""",1,added

99,"""feat(blog): add a disclaimer to tw-best-practice

we shouldn't use heading levels because of the font size""",0,added

100,"""feat: add feedback widget""",1,added

101,"""fix(lib): sticky-nav demo won't load""",0,changed

102,"""feat: add script to generate markdown""",1,added

103,"""feat: remove portfolio from site title""",1,added

104,"""chore(package): update all Yarn dependencies (2022-01-09)""",0,changed

105,"""fix: mdx h4 don't have scroll margin""",0,fixed

106,"""feat: add social link on hero""",1,added

107,"""feat: add AMA link on guestbook""",1,added

108,"""feat: remove seasforus link and change demo to hash

backend deployment is no longer active""",1,added

109,"""feat: add github card""",1,added

110,"""feat(blog): add one-stop-starter""",0,added

111,"""feat: add TwitterCard embed""",1,added

112,"""chore(package): update all Yarn dependencies (2022-01-02)""",0,changed

113,"""feat: add tooltip to footer links""",1,added

114,"""fix: rss publish date wrong format""",1,fixed

115,"""feat: add rss""",1,added

116,"""feat: add share tweet button to blog""",1,added

117,"""fix: tech icons on project have discs""",1,fixed

118,"""feat(blog): add 2021-retrospective""",0,added

119,"""chore: add license""",0,added

120,"""feat: block increment views except on main domain""",1,added

121,"""feat: add copywrite and status for dev""",1,added

122,"""fix: giscus not rerendering when changing route""",1,fixed

123,"""feat: add date to Seo for blog and projects""",1,added

124,"""chore(package): update all Yarn dependencies (2021-12-26)""",0,changed

125,"""feat: add statistic cards""",1,added

126,"""feat: add footer total to statistics""",1,added

127,"""feat: add filter to statistics""",1,added

128,"""refactor: use Cell for column declaration""",1,changed

129,"""feat: add statistics""",1,added

130,"""chore: add react-table""",0,added

131,"""feat: add devtoViews tooltip""",1,added

132,"""feat: add nprogress""",1,added

133,"""feat: add subscribe to footer and remove polywork""",1,added

134,"""feat!: use revue for newsletter""",1,added

135,"""feat(blog): add nextjs-storybook-tailwind""",0,added

136,"""fix: skip to content button is transparent""",1,fixed

137,"""feat: add skip tags""",1,added

138,"""feat: add skip nav""",1,added

139,"""chore(release): 1.1.1""",0,changed

140,"""chore: update browserslist""",0,changed

141,"""refactor: use prose-invert for typography""",1,changed

142,"""chore: update to tailwindcss v3""",0,changed

143,"""feat: add whitespace to cards""",1,added

144,"""chore(package): update all Yarn dependencies (2021-12-19)""",0,changed

145,"""feat(blog): add complex use of clsx for tailwind""",1,added

146,"""chore(package): update all Yarn dependencies (2021-12-12)""",0,changed

147,"""chore(package): update next to version 12.0.7""",0,changed

148,"""chore(package): update all Yarn dependencies (2021-12-05)""",0,changed

149,"""ci: add commitlint scope-enum""",1,added

150,"""feat(proj): add seasforus""",0,added

151,"""feat: change email to domain alias""",1,added

152,"""feat: add custom blog og""",1,added

153,"""ci: change auto branch prefix to i""",1,changed

154,"""fix: mdx date broke safari""",1,fixed

155,"""ci: fix issue-autolink prefix""",1,fixed

156,"""style: sort classes with prettier""",1,changed

157,"""chore: add prettier variant prefix""",0,added

158,"""chore: rename prettier script""",0,changed

159,"""chore: add tailwind prettier sort""",0,added

160,"""ci: add branch and issue workflows""",1,added

161,"""fix: table of contents not updating

happens if navigating using `Link` from previous slug""",1,fixed

162,"""feat(blog): update tailwindcss-best-practice""",0,changed

163,"""chore(release): 1.1.0""",0,changed

164,"""feat: revamp landing and about page""",1,added

165,"""feat: add description to guestbook Seo""",1,added

166,"""feat: add guestbook""",1,added

167,"""feat: add sayHelloFlag""",1,added

168,"""feat: make highlight full block""",1,added

169,"""feat(blog): add react-core-concept-I""",0,added

170,"""feat: add Quiz component""",1,added

171,"""feat: add ReloadDevtool""",1,added

172,"""chore(package): update all Yarn dependencies (2021-11-28)""",0,changed

173,"""feat: add gradient to sayHello""",1,added

174,"""feat: add initial sayHello""",1,added

175,"""chore(package): update all Yarn dependencies (2021-11-21)""",0,changed

176,"""chore: add hotjar""",0,added

177,"""feat: add gradient illustration""",1,added

178,"""chore(package): update all Yarn dependencies (2021-11-14)""",0,changed

179,"""test: disable umami before each tests

Signed-off-by: Theodorus Clarence <theodorusclarence@gmail.com>""",0,changed

180,"""test: add spotify spec""",1,added

181,"""docs: update readme banner""",1,changed

182,"""feat: add incrementMetaFlag""",1,added

183,"""feat: track recommendation click rate""",1,added

184,"""feat: use separate variable for intro post""",1,added

185,"""feat(blog): add react-loading-state-pattern""",0,added

186,"""feat(lib): add component and hooks to toast""",1,added

187,"""chore(release): 1.0.1""",0,changed

188,"""fix: scrollspy not highlighted when visiting link""",0,fixed

189,"""feat(blog): add editorial on nextjs-fetch-usecase""",0,added

190,"""feat(blog): update spotify-now-playing""",0,changed

191,"""feat: order blogs by lastUpdated""",1,added

192,"""style(filename): change content to frontmatters""",0,changed

193,"""ci: add cypress workflows""",1,added

194,"""test: all pages render correctly""",0,changed

195,"""chore: add cypress""",0,added

196,"""feat: add Seo description to pages""",1,added

197,"""feat: remove header trackEvent""",1,added

198,"""feat: use gradient og""",1,added

199,"""style: lowercase frontmatter""",0,changed

200,"""refactor: use Tooltip component for tech""",1,changed

201,"""style: move folders to components/content""",1,changed

202,"""fix: project links not showing on ios""",1,fixed

203,"""fix: recommendations have no view count""",1,fixed

204,"""feat: remove url on Seo title""",1,added

205,"""feat: reorder header""",1,added

206,"""docs: add readme from v0""",0,added

207,"""docs: add env example""",1,added

208,"""chore(package): update all Yarn dependencies (2021-11-09)""",0,changed

209,"""chore(release): 1.0.0""",0,changed

210,"""chore: revert version to 0.4.0""",0,changed

211,"""feat: add umami analytics""",1,added

212,"""fix: code block copy button scrolls""",1,fixed

213,"""feat: add 20-javascript""",1,added

214,"""feat: add all projects""",1,added

215,"""feat: add all library""",1,added

216,"""feat: add all blogs""",1,added

217,"""feat: dedupe tags by occurence""",1,added

218,"""fix: change Cloudinary mdx props to optional""",1,fixed

219,"""feat: add CloudinaryImg mdx props""",1,added

220,"""feat: add tags on blog""",1,added

221,"""feat: change tag copywrite""",1,added

222,"""chore: turn on development feature flag""",0,added

223,"""feat: remove debounce on search""",1,added

224,"""feat: add animation to all pages""",1,added

225,"""chore(package): add react-intersection-bserver""",0,added

226,"""feat: add index animation""",1,added

227,"""feat: add projects and library to home""",1,added

228,"""feat: lower scale for card with image""",1,added

229,"""feat: add content meta to projects""",1,added

230,"""feat: change highlight color""",1,added

231,"""feat: update intro section

heading highlight, change copywrite""",1,added

232,"""refactor: use tailwind for shadow and scale""",1,changed

233,"""feat: add selection style""",1,added

234,"""feat: change about photo""",1,added

235,"""feat: add tooltip component""",1,added

236,"""feat: add intro section""",1,added

237,"""fix: spotify error when playing podcast""",1,fixed

238,"""fix: like button briefly jumps to 0""",0,fixed

239,"""feat: add like functionality""",1,added

240,"""feat: increment views on visit""",1,added

241,"""feat: save sort preference and add icon""",1,added

242,"""feat: add likes to library card""",1,added

243,"""feat: add subscribe page""",1,added

244,"""feat: inject views to blog""",1,added

245,"""feat: add upsert like API""",1,added

246,"""feat: change footer to flex-wrap""",1,added

247,"""feat: add single content meta api""",1,added

248,"""feat: add get all content api""",1,added

249,"""feat: remove image transition""",1,added

250,"""feat: use onLoad and lower transition time""",1,added

251,"""feat: add transition to image blur""",1,added

252,"""refactor: add base shadow to CloudinaryImg""",1,changed

253,"""feat: add featuredPosts to home""",1,added

254,"""feat: add trf page and side-projects""",1,added

255,"""feat: scroll into view TOC""",0,added

256,"""feat: polish some elements""",1,added

257,"""feat: add project page""",1,added

258,"""feat: update og""",1,added

259,"""feat: add single project page""",1,added

260,"""chore: make newsletter count prod only""",0,changed

261,"""feat: mutate count after subscribe""",1,added

262,"""feat: add newsletter subscribe""",1,added

263,"""chore: use preact for production""",0,changed

264,"""feat: add isProd constant""",1,added

265,"""fix: spotify still show when not playing""",0,fixed

266,"""feat: add spotify""",1,added

267,"""fix: tag spacing & still highlighted when disabled""",0,fixed

268,"""feat: add search and tags to library""",1,added

269,"""feat: add library""",1,added

270,"""feat: add library and refactor toc""",1,added

271,"""fix: tag still selected on lang toggle""",0,fixed

272,"""feat: add blog recommendation""",1,added

273,"""feat: only show available tags""",1,added

274,"""feat: add tag logic""",1,added

275,"""feat: add search and language to blog""",1,added

276,"""chore: add mdx to lint-staged""",0,added

277,"""feat: rename files""",1,added

278,"""feat: add ui for sort blog""",1,added

279,"""feat: add CloudinaryImage and about""",0,added

280,"""feat: add footer""",1,added

281,"""feat: add single blog post""",1,added

282,"""feat: add index first section""",1,added

283,"""chore(package): add react-tippy""",0,added

284,"""chore(package): update to next version 12.0.1""",0,changed

285,"""feat: change color and add header""",1,added

286,"""feat: change Seo""",1,added

287,"""feat!: typescript initial commit""",1,added

288,"""chore(package): update all Yarn dependencies (2021-10-17)""",0,changed

289,"""feat: add og from thcl""",0,added

290,"""feat: add new tab cursor""",1,added

291,"""revert: add self-host og

This reverts commit aa415c32ba81f2e0f5ad03d131ea46d7198cd953.""",1,added

292,"""fix: react-icons breaking changes""",1,fixed

293,"""chore(package): update all Yarn dependencies (2021-10-12)""",0,changed

294,"""feat: add self-host og""",1,added

295,"""chore(package): update all Yarn dependencies (2021-09-27)""",0,changed

296,"""feat: add docs to footer link""",1,added

297,"""chore(package): update all Yarn dependencies (2021-09-20)""",0,changed

298,"""feat(blog): add newsletter cta""",0,added

299,"""feat(blog): add mindful-commit-message""",0,added

300,"""feat: remove og gradient outline""",1,added

301,"""feat: change og image""",1,added

302,"""chore(package): update all Yarn dependencies (2021-09-13)""",0,changed

303,"""docs: add features""",1,added

304,"""chore(release): 0.3.0""",0,changed

305,"""feat(blog): make bahasa button to right align""",1,changed

306,"""fix(blog): conflicting hash and link on heading""",1,changed

307,"""feat(blog): add introduction heading""",1,added

308,"""fix: about page has conflicting color""",1,fixed

309,"""feat: make larger layout""",1,added

310,"""fix: article not full width""",0,fixed

311,"""feat!: add scrollspy to library""",1,added

312,"""fix: code blocks overflow""",1,fixed

313,"""feat: add large footer & change photo""",1,added

314,"""feat!: add scrollspy to blog""",1,added

315,"""feat: add redirect for `/link`""",0,added

316,"""chore(release): 0.2.4""",0,changed

317,"""feat: change text & heading to lighter color""",1,added

318,"""feat: change light mode accent""",1,added

319,"""chore(release): 0.2.3""",0,changed

320,"""fix: add mt to spotify card""",1,fixed

321,"""chore(package): update all Yarn dependencies (2021-09-06)""",0,changed

322,"""feat(admin): split devto views""",0,changed

323,"""ci: add `admin` scope""",1,added

324,"""fix: post request devto not synced""",1,fixed

325,"""chore(release): 0.2.2""",0,changed

326,"""fix: header overlap with sort button""",1,fixed

327,"""feat: add devto views""",1,added

328,"""fix: likes and views not showing on homepage""",1,fixed

329,"""perf: reduce fauna hits on views & likes for index""",1,changed

330,"""chore(release): 0.2.1""",0,changed

331,"""fix(library): remove padding on search bar""",1,changed

332,"""feat(blog): add sort feature""",0,added

333,"""feat: add `library-sort` to session""",1,added

334,"""feat(library): add sort listbox""",1,added

335,"""chore(package): add @headlessui""",0,added

336,"""chore(release): 0.2.0""",0,changed

337,"""fix: typo on footer""",0,fixed

338,"""feat: remove next-mdx-remote file""",1,added

339,"""chore(package): remove next-mdx-remote & plugins""",0,changed

340,"""ci: add package scope to commitlint""",1,added

341,"""fix: add text lang to blank code blocks""",1,fixed

342,"""feat!: use mdx-bundler""",1,added

343,"""chore: add mdx-bundler and plugins""",0,added

344,"""feat: change og bg color""",1,added

345,"""chore(package): update next to version 11.1.2""",0,changed

346,"""chore(release): 0.1.3""",0,changed

347,"""fix(blog): typo on nextjs-fetch-method""",0,changed

348,"""feat(blog): add nextjs-fetch-method""",0,added

349,"""feat: change dark typography to lighter color""",1,added

350,"""chore(release): 0.1.2""",0,changed

351,"""feat(library): add swr hook for toast""",1,added

352,"""feat(library): add ts version to seo""",0,added

353,"""feat(library): add tailwind config to basestyle""",1,added

